Func	Left					Right					Extra					RD	Data					Address					Jmp		Jaddr					RD_out	stall		Function
JAL--	00000000000000000000000000001000	00000000000000000000000000000100	00000000000000000000000000001110	00011	00000000000000000000000000001110	00000000000000000000000000001100	1		00000000000000000000000000001100	00011	0		JAL--
ADDr-	00000000000000000000000000000001	00000000000000000000000000000001	00000000000000000000000000011110	00001	00000000000000000000000000000010	00000000000000000000000000000010	0		00000000000000000000000000000010	00001	1		NOP--
SUBr-	00000000000000000000000000000001	00000000000000000000000000000001	00000000000000000000000000000001	00010	00000000000000000000000000000000	00000000000000000000000000000000	0		00000000000000000000000000000000	00010	0		SUBr-
ANDr-	00000000000000000000000000000101	00000000000000000000000000000011	00000000000000000000000000000110	00011	00000000000000000000000000000001	00000000000000000000000000000001	0		00000000000000000000000000000001	00011	0		ANDr-
SLLr-	00000000000000000000000000000011	00000000000000000000000000000001	00000000000000000000000000000001	00100	00000000000000000000000000000110	00000000000000000000000000000110	0		00000000000000000000000000000110	00100	0	SLLr-
BGE--	11111111111111111111111111111111	00000000000000000000000000000001	00000000000000000000000000000101	00101	00000000000000000000000000000000	00000000000000000000000000000000	0		00000000000000000000000000000101	00101	0	BGE--
BGEU-	11111111111111111111111111111111	00000000000000000000000000000001	00000000000000000000000000000101	00101	00000000000000000000000000000000	00000000000000000000000000000000	1		00000000000000000000000000000101	00101	0	BGEU-
LB---	00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	01000	00000000000000000000000000000011	00000000000000000000000000000011	0		00000000000000000000000000000100	01000	0	LB---
SB---	00000000000000000000000000000010	00000000000000000000000000000100	00000000000000000000000000001000	01001	00000000000000000000000000001000	00000000000000000000000000000110	0		00000000000000000000000000001000	01001	0	SB---
SLTI-	00000000000000000000000000001010	10000000000000000000000000000100	00000000000000000000000000000011	01000	00000000000000000000000000000000	10000000000000000000000000001110	0		00000000000000000000000000000011	01000	0	SLTI-
SLTIU	10000000000000000000000000000001	10000000000000000000000000000010	00000000000000000000000000000001	01010	00000000000000000000000000000001	00000000000000000000000000000011	0		00000000000000000000000000000001	01010	0	SLTIU
LUI--	00000000000000000000000000000000    	00000000000000000000000000000000    	00000000001000001000000000000000	00011 	00000000001000001000000000000000	00000000000000000000000000000000    	0		00000000001000001000000000000000	00011	0	LUI--
AUIPC	00000000000000000000000000000000    	00000000000000000000000000000000    	00000000001000001000000000000000	00011 	00000000001000001000000000000000	00000000000000000000000000000000    	0		00000000001000001000000000000000	00011	0	AUIPC
JALR-	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000000000000    	00000000000000000000000100000000    	1		00000000000000000000000100000000    	00011	0	JALR-
BEQ--	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000001000000000000000100000000    	00000001000000000000000100000000    	0		00000000000000000000000000000000    	00011	0	BEQ--
BNE--	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000001000000000000000100000000    	00000001000000000000000100000000    	1		00000000000000000000000000000000    	00011	0	BNE--
